epoch,feature1,feature2,feature3,tmc_code,measurement_tstamp,speed_All,data_density_All,data_density_Pass,data_density_Truck,travel_time_seconds_All,start_latitude,start_longitude,end_latitude,end_longitude,miles,aadt,urban_code,thrulanes_unidir,f_system,route_sign,thrulanes,zip,DIR,TMC_Value,year,month,day,hour,dayofweek,measurement_tstamp_before,measurement_tstamp_after,speed_All_before,speed_All_after,travel_time_seconds_All_before,travel_time_seconds_All_after,data_density_All_before,data_density_All_after,data_density_Pass_before,data_density_Pass_after,data_density_Truck_before,data_density_Truck_after,year_before,year_after,month_before,month_after,day_before,day_after,hour_before,hour_after,dayofweek_before,dayofweek_after
100,,,,42946.0,1508.6055,9432.32,4762.6055,4425.2266,3120.168,20446.957,14291.668,43864.375,14548.703,42105.203,27067.246,1134271.1,63047.758,43844.664,21299.402,17437.21,80216.02,159059.69,32574.18,14251.824,2577.5898,6963.6016,1089.5469,262026.94,13666.84,1562.1016,1440.2109,5763.4375,5459.7812,9598.34,9789.461,1235.2148,2562.918,2575.0938,2265.4688,1868.6719,1750.0234,2394.1445,2424.5195,7853.7695,7071.879,1087.8984,968.1992,72167.56,38687.438,8435.043,10450.875
200,,,,48676.6,1424.3203,9708.102,2929.746,3776.496,2657.586,20796.7,15538.578,46096.297,15743.141,44527.766,34382.297,1117189.5,64031.71,49662.625,27377.422,18383.844,97856.86,165480.14,34521.4,14931.125,2327.168,7998.4297,1638.6641,334812.38,17422.496,1673.7305,1479.043,5089.8086,4544.3984,7481.09,8192.883,786.39453,1818.875,2066.6016,1909.2852,1524.6211,1588.0117,2177.5469,2330.9453,8975.715,8100.9805,1721.6797,1448.543,38049.227,33099.28,7655.9453,8450.504
300,,,,47286.414,1613.5273,10175.043,2118.9805,2737.3906,1756.7461,19753.555,15808.863,48431.836,16050.574,46508.57,33060.094,1132314.6,63228.844,49392.117,31550.61,20527.383,106443.016,163346.72,35828.32,14507.926,2178.3164,9799.996,2253.1602,361984.94,19246.895,1776.1602,1582.0117,4784.0625,4275.7344,6131.8086,6892.926,563.1875,1406.9844,1218.8828,1154.1406,1070.9453,970.6406,1940.5703,2286.871,10464.52,9687.418,2493.336,2233.9727,31313.227,30026.227,8327.742,8935.375
400,,,,52716.664,1785.7656,11632.906,2261.3867,3385.0664,2316.0703,21864.387,17125.629,47843.266,17822.605,46808.617,36114.727,1125904.6,66562.2,54876.258,34468.227,21654.195,120859.83,156563.11,37225.844,15442.285,2207.1602,9880.266,2653.0508,382326.38,19872.766,1860.043,1668.1055,5219.8438,4313.492,5757.125,6686.832,660.7461,1664.7148,1698.6016,1608.1875,1395.5469,1284.8516,1905.2461,2372.7812,10644.684,9597.379,3066.6133,2862.5977,24472.0,26061.543,7673.043,8392.023
500,,,,52570.664,1807.9414,12706.793,1820.4883,2938.4219,1841.3086,19809.996,17365.758,51153.6,17615.672,48093.203,35984.484,1140898.2,67397.0,52665.86,38492.312,23726.777,124014.37,161260.81,37864.055,14709.004,2376.2305,10582.363,3140.4414,397032.88,20844.84,1925.6406,1729.3789,4577.1484,4045.6367,6185.2266,6316.5664,615.30273,1521.2148,1297.7461,1392.0234,1027.7578,950.8574,1950.7734,2420.2031,11257.508,10107.059,3487.6094,3302.0195,22414.914,24968.605,8272.254,8613.262
600,,,,57335.266,9826.496,14434.189,2040.1074,3074.752,2675.33,22888.951,20579.154,52813.297,20747.428,53527.008,39878.83,1142247.6,69117.66,62446.406,47456.4,26872.498,141377.64,172006.3,47987.016,29745.732,2310.8047,18366.94,12217.512,407393.34,22994.33,8123.9824,9693.191,5811.758,5014.5605,7645.8145,7504.082,735.1035,1580.4844,1907.293,1699.4492,1347.8945,1318.2285,1407.9609,1963.8184,20915.604,13226.252,14039.85,10921.785,21454.209,24550.268,10722.525,10541.637
700,,,,50163.984,10776.586,11268.004,1120.2871,1629.7246,1271.1289,19284.295,15995.178,60513.047,17226.295,56333.15,36071.914,1167141.2,66523.19,51497.04,44337.094,25850.47,130201.01,168343.92,45442.523,28795.104,1684.3203,18123.932,18354.584,420287.2,27888.643,13813.904,13152.738,4586.7227,4335.1797,5318.623,5248.4023,276.74023,656.3252,694.14844,883.0918,914.2168,719.47266,973.21875,1720.9062,17873.092,25252.646,17329.318,13271.232,18172.35,20865.979,9606.848,10520.557
800,,,,59187.28,8050.157,13140.542,1927.0322,2145.296,1209.0254,20659.512,17378.746,57212.21,19296.11,58606.93,38862.47,1154989.5,68479.38,62081.08,45014.797,28215.871,147591.69,164280.02,54543.016,28940.324,2008.3799,24625.203,17045.285,424571.4,27727.133,11317.192,11700.481,4636.073,4532.1943,6547.4756,5608.4736,342.9922,852.82227,1206.4238,1114.3418,969.53613,650.5654,1456.6299,2175.4502,22820.867,22273.965,15069.493,12537.13,17456.516,21867.367,11788.655,10865.798
900,,,,53711.473,11176.5625,13064.125,1101.6426,2053.2656,1263.7031,19256.754,18416.84,58078.957,20334.469,57852.76,40416.598,1155887.9,70172.984,57630.7,47425.72,26464.066,146061.34,159634.97,43257.344,30486.68,1710.7734,23107.375,13999.986,433036.62,28114.234,12828.906,8600.244,4246.799,4599.75,5932.133,6083.3086,237.52832,915.1074,757.6387,1043.6328,858.9072,764.3887,880.05664,2093.2773,22633.516,21523.008,15319.361,14826.422,15824.818,20038.55,10919.125,9207.086
1000,,,,52876.97,10655.012,14055.26,1863.7295,1797.0908,1592.6484,17582.27,17089.404,63026.992,17249.002,59585.266,39965.89,1160051.9,68309.08,57012.42,45725.688,26697.357,140561.78,159513.4,43790.516,30291.56,2066.7246,23049.572,16358.967,446658.0,27335.545,10528.594,8852.16,4788.5996,4520.25,5562.5723,4730.547,326.96484,975.23535,861.96387,640.1221,803.4365,953.06836,1733.3418,2476.1484,27593.963,26556.51,14125.727,15827.576,16089.414,20108.758,10390.426,10373.332
